username,review_text
wavedxb,"Despite being a small hotel, the rooms were clean and comfortable, adequate for the price you pay.   Toilet has hot and cold with bidet. location is perfect with close proximity to coffeeshop, atm and bank, hospital and massage center. if you craving for grilled foods, there are 2 restaurant next to the hotel.  Convenient store like 7 eleven is close by, its near to Capitol Hall.  Around 20 minutes to Ayala Center Mall if no heavy traffic.  Check in -in date| 25 Apr - 01 May 2022"
LolaGo1,"Feeling tired and hot when I reached this hotel, I became upset when they wouldt NOT give me the applicable discounts! All the  other 5 hotels I had previously visited during these trips to the Visayas gave me 20 % discount! I was told to discuss this with Booking.com where I booked my 3-nights stay here.  My mood changed when I saw my modern and clean room located at the 4th Floor. The floor is made of hard wood and beddings appeared newish. There are 2 Free bottles waiting for me and the refrigerator has soft drinks and water for sale. Wifi is fast and there is hot water in the shower.  Korean Air CANCELLED FLIGHTS: The Front Desk personnel named Sam and June helped me get new flights from Manila to Washington, DC. It took us almost 3 hours  to iron this out, but they both"
Kazylaz,"Good place for overnighting in the city. Very good food in the restaurant, friendly staff, adequate room facilities. Unfortunately air conditioning not brilliant In our room which gave us a couple of sweaty nights."
guillermo,"Located near the Cebu Capitol site, this is one of the better budget hotel I have experience. The facilities are very good, clean and convenient. The rooms are bigger, good bed and reasonable food. Service are very satisfactory. Conviently located in the old area of Cebu, but accessible to most destinations. Recommended"
Czar Emmanuel,"It was my second time to stay at this hotel. The first time was way back in 2012. And it doesn't disappoint. The staff is still friendly and accommodating. Room is clean, quiet, equipped with the basic facilities I needed (AC, TV with cable channels, private toilet and shower room with hot water, a safety box, a fridge, etc.). Complimentary breakfast is good, and so forth. But what I really like about this hotel is its location. It's just a stone's throw away from the city Capitol, bars, restaurants, shopping malls, convenience stores, etc. It is also very accessible to both private and public means of transportation. Thumbs up!"
Marielle D,"Stayed here last April 1&2, 2019, and I must say that my family, and I were satisfied.  Overall Satisfaction (5-point rating scale): Staff: 4 - accommodating, and friendly. We arrived at past 7:00 in the evening, yet the front desk personnel didn't give a hint of tiredness. Room: 4.5 - clean sheets, clean room, clean bathroom, and comfortable bed&pillow. Also, the corridor is clean. Price: not that sure about it since we booked using a travel agency. But when I searched the price for the room we had, I must say that it was affordable for the comfort we just experienced so I'm giving it a points of 4. Place: 4 - located within the heart of Cebu City, it was accessible in all commercial establishments. Food: 3 - we had to leave early (5 or 6 am) so they only gave us bread with"
UKMALETRAVELLER,"Very pleasant hotel with friendly staf. Very spacious, clean room - with extremely comfortable bed. Receptionist also arranged an amazing half-day tour for me. Included breakfast and was good value for money."
Gail the Whale,"My husband and I stayed here 2 nights. Our room was spacious, clean and quiet. The hotel is a little distant from the main sights, but only a short 110 peso taxi ride to the main attractions like the Bascillica El Niño. The staff were courteous. The breakfast food was very limited. We would also have liked open access to water, rather than having to keep buying more and more plastic bottles. It was lovely to have a decent, powerful hot shower after some of the places we have stayed so far."
George,"I just spent one week at this hotel in Cebu, and I can say that it is a good value for money, quiet and clean. I would recommend this hotel, even though it doesn't have a swimming pool. But you can always take a day pass to another hotel with a swimming pool, which is more fun because you always explore more and more..."
rose168_11,"We were originally booked at Cebu R Mabolo. When we arrived at the hotel, the elevator was under repair so they made arrangement to transfer our booking to Cebu R Capitol. Upon arrival, we were served refreshing drinks which was a pleasant surprise. We only booked a standard twin room but they upgraded our accommodation to a deluxe room. The room was very clean and so spacious because it was good for 4 persons. The staff at this hotel were very friendly and helpful. Special mention must be made for the guard because he was very helpful when we needed taxi. He also made an effort to assist my elderly father when disembarking from the taxi. The set breakfast, included in the room rate, was very good. When my Cebuano nephews visited us at the hotel, I treated them to the set"
Michelle G Bañez,"If you are looking for a place to stay at the center of Cebu city on a limited amount of funds, this is a place for you. Finalist as the Best budget hotel in Cebu, Cebu R Hotel really is easy in the pocket. Surrounded by several food establishments, you will never go hungry and at the right price. Just a short walk away from Cebu provincial Capitol. We booked a standard room but to our surprise, we were upgraded to a suite room for no extra charge. I think it's because they have overbooked the standard rooms. (lucky!) The room is spacious though our bed is next to a pillar so it seemed cramped. The aircon was dripping and it made our blanket wet. :( The members of the staff are friendly and accommodating. Their breakfast meal was just right to start your day. I will definitely"
Patrick S,"There are now two different branches of the Cebu R Hotel, but for some reason only one of them is listed here. I stayed at the Capitol branch in the heart of Uptown Cebu City on 3 different occasions, as I was using the city as a home base to visit Bohol, Negros, and Bantayan Island. And at 950 pesos per night, this is a real bargain!  Don't know if it's because I was a nice and friendly guest, but they upgraded me to a suite for my first stay, and then to a Deluxe room for my next two stays, free of charge and without my asking! So I was very happy about that!  Both the suite and the room showed a bit more wear and tear than what you can see on the photos posted on their website. Still, in that price range, it remains a good budget option. Both rooms were quite spacious, with a"
travel_time,"I missed my flight and had to rebook it for another day so I searched for a bufget friendly accomodation and the cab driver suggested Cebu R Hotel. The standard room was 950 php but upon checking in I was upgraded to a suite which was really nice. Breakfast was free. A decent hotel with hot shower, cable, wifi and selcome drinks when you check in. I had a pretty comfortable stay. I will reccomend this if you are not looking for luxury and just a place to stay."
londonmammal,"Everything is about this hotel is very average except for the staff, who are very friendly and try to be very helpful, even though they often fall short of actually being helpful.  Location, is average, a short walk from most places in uptown. Breakfast was Ok - nothing great, but acceptable Hotel was fine for a budget hotel Room was fine - on the ground floor with no view, but wifi was good, shower good and bed comfortable.  However - tried to charge me for some laundry that they didnt do (washing machine wasnt even working so i was told - so not sure how they thought they could charge me for doing laundry!). If you want a dash of milk in tea  - as is standard for the UK, you get charged extra for milk being a drink itself.  However, they tried hard, and all staff were always"
