username,review_text
holidaycrazy,"I stayed at this hotel with a friend in connecting rooms on a last minute booking. We were very happy.  We organised a transfer via the hotel from the airport which was excellent, I highly recommend.The resort is well kept and very attractive. The ground staff were seen working really hard everyday. The grounds are immaculate with plenty of places to sit, rest, sunbathe and just soak up the atmosphere. The gift shop is useful and has friendly staff. The reception are helpful and informative. Our rooms were beautiful, I had the biggest bed I’ve ever seen. We had a stunning view too.Rooms are super roomy and have everything you need. Complimentary water and tea/ coffee too was very welcome. They are also quiet. The housekeeping staff do an excellent job.  The food was very good,"
Elvin A,"PROS: - Nice location - on the Mactan Island beach front. - Room was big and clean. Had 2 queen-sized beds and a lot of space to boot. Room was well appointed too. - Bathroom had a tub and was also very big! - TV and aircon were modern already. - Wide selection of food in their resto and fairly-priced too.  CONS: - Lighting needs to be updated. Yellow light makes the room look so dark and haunted. - Window shutters by the hallway are starting to separate already. You'd need to manually close each slat to ensure privacy when in the room. - Beach area had white sand, but it was relatively narrow. I can imagine this will become crowded during peak seasons."
Stephen in Tokyo,"Costabella Resort is a beautiful place located on a private beach. The grounds are very well maintained by the friendly staff. It's a one stop resort with everything one could want on site including a weight training gym, an excellent spa and a dive shop. There are two separate restaurants serving delicious food. They offer something for everyone. It's quite easy to sit by the pools or the beach and really relax or do other various physical activities. Finally, I had very nice conversations with several staff members. It's quality all the way.   It's not that far from the airport so if you have a car it's convenient. Without a car one needs to hire one. We didn't venture outside the resort, but don't think there's much to see or do in the local vicinity. There's nowhere to walk,"
naomi r,"1st stop in the Philippinre and was perfect, the tours we did were brilliant. The staff were very friendly also the food was very nice. Good they had buffet & al a carte options.  The room was nice too  Right beside a local beach which was so lovely to see the local lifestyle too"
Sherpa270000,"The hotel was great, The grounds clean and tidy, the staff friendly and welcoming. But our  room looked out onto a dirty wall . No balcony to sit or  to dry your swimwear.  Food was delicious and cocktails were tasty but very over priced. Especially when you add the tax and service charge. The pool was big but not enough shade and the beach was small. Overall a good experience but meals and drinks were cheaper (and better quality)  at the Radisson Blu Hotel in Cebu where we stayed the week after."
Mariel E,We stayed for overnight in this beautiful hotel. We are fascinated by the view and accommodation they provide. The rooms was very spacious and bright they got the vibes of natural that brings peace and calm to yourself.
lorettahon,Pros: 1. Get 2 pools and one private beach for the hotel. Very convenient for any watersports or activities.  2. 30 mins free for Kayak and standing paddle. 3. Staff are accommodating and helpful.  4. Room: Spacious with Spanish colonial style. Nice balcony.  5. Towel Card: Nice idea.   Cons: 1. Location: 1KM walk to the closest restaurant. There are only 2 restaurants in the hotel and food delivery is strictly forbidden in the hotel which means either have your meal in the hotel or go outside by grab. 2. It is not easy to lock the door of the hotel room. I suggest them changing the key system to an electrical key system.
Jay3449,"When I booked this resort I didn't realise how good it would be but I was impressed from the ""get go!"" The room was great, everything worked plus excellent food and staff etc (as to be expected).  However for me the surprise was that the whole resort is smoke (and vape) free with the exception of a smoking room off to one side of the bar which was very unobtrusive. The fact that the rest of the whole resort was smoke free was an absolute joy!"
FL-WorldTraveler,"The hotel has suffered a lot with pandemic and typhoon a year ago, but they have reinvested and made improvements and are on a good path. We stayed here 5 years ago and enjoyed the stay, but this stay was even better. The grounds are a delight with lots of color and artful decor. The breakfast buffet is very good. The staff is cheerful and always helpful. We will be back in the future."
Mark K,"This was our first stop off the plane, and after 1 week. The breakfast is amazing, fresh bread, great bacon, and real hot chocolate!!! The rooms are nice and the beach is peaceful. A very ""off-the-beat"" resort. 9/10."
