username,review_text
kiwiboyz12,Booked this for my niece who was enroute Cebu to Davao. She had a pleasant stay & said the place was clean & tidy. She was picked up by the shuttle from the airport on time. All meals were part of the package which was excellent. Quality of meals was good. Thanks guys for what you do in these crazy times. All the best.
MaasGolf,We spent  just one night in one of their junior suites. Huge room with a little kitchen. Wonderful small quiet pool with in water seating directly at the pool bar. Very friendly helpful staff. Outlet mall and many restaurants within a few minutes walking distance. Fantastic breakfast and a free shuttle van to the airport early in the morning. Can definitely recommend if passing through Mactan/Cebu City.
Lucy P,"We stayed here for 1 night to catch our flight early morning.  It was such good value for money and we had a free upgrade on checking in which was a lovely surprise after a long day!  The room had loads of space and was really clean.  We went to the outlet shopping next door that had Nike, Adidas etc   The restaurant had really nice food, we both had sandwiches and a bucket of beer for good value - big shout out for Argie who was so lovely.   The airport shuttle was included in the stay which you need to book when you check in, it was so easy and quick!"
Jude Palces,"I had a wonderful 2 days at Eloisa's. The property is 15-20 minutes from the airport.There is an outlet nearby for shopping and dining. Everything started right with a free shuttle from the airport. Check-in was seamless and easy. What really set this property apart from other hotels, in my opinion, was the friendly and caring staff. I had a Junior Suite and it was huge. The sheets smelled fresh. Bathroom was clean and had all the amenities one expects from a hotel. Free breakfast was excellent with a lot of choices. The live band in Daku Bistro really added a nice touch to total experience. I did not try the pool but it is aesthetically designed and looks really pretty at night. I will definitely return to this place the next time I am in town."
Aillen L,"At first glance, we thought that it’s just a simple hotel, but when we checked-in.. it was totally beyond expectation. + Room- stylish and spacious with excellent Wi-Fi. Bathroom is small but it’s fine. Breakfast-i love the buffet and the staff were nice. Place- I’m soo in love with the place and it’s like you’re in a resort. Pool- Nah! Soo beautiful and with stylish curtains. It’s even more nice at night. Good for kiddos. - Location- It’s away from the downtown, but it’s not fine since there are malls with fantastic restaurants and boutiques beside the hotel."
42Veggies,"Would be a five star review had they not put us in room 203, facing the main road. The honking all night did not help our jetlagged bodies to fall asleep.  Also the second night the people in room 204 arrived at 4 am heavily intoxicated, they were screaming in the hall ways and after half an hour took their noise into their room, the one next to ours, and continued loudly screaming and laughing until I got out of bed, got dressed, went into the hallway and yelled at them to shut up. Really we were right above the reception and the staff should have adressed this situation within minutes.  But back to the rave review because the hotel really is very good. The beds are very comfortable, the room is immaculately clean and very nice and well equiped, the staff go out of their way to"
Meggy,"We stayed at Eloisa Royal Suite for a night since it was near the airport and we have an early flight the next day. We arranged our transfer-in with them and they were very flexible. Our flight was delayed (we arrived at 10 pm) and when we called, they said they have a flight tracker so we need not worry. Check-in was a breeze and we were upgraded to an executive room. Our room is nice, it has access to the pool🙂. I guess whether the room has a window or not will depend on the type of room you booked. They have a takeaway breakfast for those who have an early flight. You may choose between bacon with rice or tuna sandwich. My only comment is that wifi is a bit slow in our room. Overall we had a wonderful night and will stay here again if we go back to Mactan Cebu."
LJ V,The hotel looks nice but the room is smaller than I thought. The staffs are really helpful. Food is good could be better. They have free shuttle so it's good to consider it airport hotel it's not that far but always leave early Cebu always have chaos traffic.
94klj,"Great hotel in a great location. Ideal for people looking to stay near the airport, although not much in the surrounding area. The room was very clean and a decent size. The reception staff were extremely helpful when we were checking in and at all other times. We had two early morning trips and had breakfast prepared for us on departure. Was great for a two night stay over between destinations."
RaynerAO,"My 2nd stay here and I wasn’t disappointed at all. My stay at Eloisa was very pleasant. Location wise, it was great for me. Food area probably 5 mins walk away? Outlet shops too for those who want to shop. Close to airport too.  The staff were really helpful and approachable. My room (located in the same building as the lobby) was clean, comfortable (toilet too) and everything functioned well.  For those who want to keep fit, their gym, though small, was clean and well equipped with proper machines and weights.  The best experience though was when I was done with work for the day (late afternoon), had already checked out in the morning but was sticky and sweaty. I wanted to book a room for a couple of hours just to freshen up but was instead lead by the staff to their guest"
Littlelizamay,"The staff are friendly and helpful. The room was clean with a fridge, kettle, and tv. as well as hairdryer. It is near the airport and the hotel has its own transport which is very useful. It would have been great if there was some form of ""welcome pack"" in the room detailing the services available in the hotel as well as a list of attractions nearby."
Max W,"My girlfriend and I booked this hotel quite late during the day due to our flight rescheduling. We decided to choose this hotel due to the close proximity to the Mactan Airport on the map. We did request pick-up from the airport in our online booking, however as it was late during the day, the hotel may not have seen it.  When we landed at almost midnight, not to our surprise, we were unable to find any hotel personnel for the pick-up service. We called the hotel and they said that the driver was already at the airport, however they were not able to tell us where exactly the driver was waiting. It was made more confusing as the airport has a number of exits. We called the hotel a number of times and explained our exact location where we would be waiting, and after an hour or so"
