username,review_text
ms c,"There should be facial tissue in the room, because tissue was only in the bathroom.                   For Breakfast, It was tasty but I wish there are more fruits. Thanks to Plisken, Nicole, Vilma, Joseph, and Erika for the services during the breakfast. Chito in the breakfast area really provided a good service.   Air conditioner was really good, so cool. Overall, Service is really kind and hospitable."
Maps01680102514,"The room is comfortable and nice, also the place is clean, would recommend it if you planning to stay near Ayala Mall, The Supervisor Mr. PLISKEN is very helpful and he making sure if everything is going well and also his very accommodating"
Chitte Ruby T,The bed is nice. But the telephone is not working. Does not have hair dryer. The place is clean. Overall its still a great place to relax and rest. The supervisor Mr. Prisken is very accomodating.....
Imma N,"Great place to stay for short and long-term. The staffs are polite. Food is great. The location is perfect. There is a bar on top and a restaurant at the ground floor- both are very convenient. Andy is very nice she assisted us in our stay. There is also an airport transfer that we can avail, again a plus point for us travelers."
Ronilo D,"We had a FANTASTIC experience. All of the staff, Ms. Ireka, Ms. Vilma, and especially their supervisor Mr. Plisken was incredibly professional, friendly and accommodating. The room, food, service and location (EVERYTHING) were EXCELLENT! I highly recommend this hotel to anyone looking for a great place to stay. ❤️"
sochikhiongj,Enjoy the stay. Food is delicious. Angelica and Miss Nicole are friendly and good customer service. I enjoyed the dining in here. Mr James and Ellen also very helpful in recommending the place and assistance. They are cheerful and
Lysing A,"This is my first time here since usually go out every end of our rest day or weekend. ..  The first thing that I've encountered here was the ambiance. we're welcome here. Thank you for the service guys. The best accomodations here in your Hotel.. Thank you for mr. apherie. Bryan, Janna Mae . and the supervisor.."
Michael V,"we've been here for breakfast buffet, the hotel staff was very accommodating and very hospitable. I like the food as well as the ambiance. very fantastic and we love to go back here, it was amazing experience."
lhn4901,Room is comfortable and breakfast was very good with plenty of choices.  Latte s are extra but excellent.  Bathroom towels seemed worn out  but the shower was great. Electricity goes off when you leave the room but i understand it’s super expensive in PH. The walk to Ayala Mall is not far but crossing the street is dicey.     Overall good value. Ask for Angela…very kind staff overall!!
Maria Risa R,"I am actually a regular and my former boss was a regular too….the Late Senator turned Mayor John Henry R. Osmeña….This is what you call a home away from home. The warmth of the people that surrounds the hotel from the management to the staff is really amazing… There are no requests that were left unheard and I would commend the team of the very beautiful Miss Tracy together with Rina, Jake and Toni…you guys are truly wonderful. I will highly recommend this hotel if you want to relax  and rest from your busy routine.."
ruth h,"Always had a blast having breakfast every morning during my stay. Everyone greets you with their warm smile.  Thanks to Plisken, Nicole, Mar and Angelica   for their consistent and exceptional service😊  (Hoping they would get a raise too. hahaha)"
Wander668347,"The service is outstandingly excellent. Angelica and Nicole, we're very good servers. I was very pleased with my experience. The food was great and the place was very nice. The ambiance was also very nice."
Departure51939397563,"The food is great! We had a great time and we enjoyed our breakfast. Special mention to the super friendly and accommodating staffs. They really made our quick breakfast light and fun.   Thank you to Plisken, their supervisor, Angelica and Mario, their OJT.  Keep the good service up!"
Scenic02850559057,"Staffs are super nice and accomodating! Shout out to the most attentive supervisor, Plisken and to the staffs, Vilma, Mario and Ireka. Room is great and cozy. We had a nice stay at Cebu city. Will come back soon!"
Fitz A,"Good but could have more choice of food for breakfast buffet. Nice ambience. Place is small but good it's not crowded.   Great services from the staff: Supervisor Plisken, MJ, Nicole, Joseph and Mario"
sophia c,"Staff are well manner and accomodating. The smile of the staff makes the guest feel at home and welcome. I would like to recommend the great service given by , MJ, Nicole, Joseph and Mario. A warm hello makes the day great job well done"
alireza k,the room it's good  but the air con it's not cold  no smoking area unless u have to keep going up and down  the food it's average  and prices it's bit higher than u could expect  but I like the service and crow always smile
avon e,The location is accessible. Ambiance is very nice.Staffs are very friendly and approachable especially Angelica. Everything is nice @ Harolds . Rooms are clean and comfortable. We can highly recommend.👍
Ralph Jay F,"Very good food especially the bacon... nindot ang customer service buotan kaauuu ang stafff jamming ra sa mga jokess.. comforting ang music mura og naa ka sa high quality restoo, lami ang drinks especially four season and coffee."
faith p,"Super nice hotel!. Everything was nice. Me and my colleagues would surely choose it again next time we visit Harolds evotel. Great experience, the staffs are very accommodating and very friendly , i am very satisfied with their service."
