username,review_text
Cy M,The first thing that I noticed when I came to Seda is how clean and how fragrant the hotel lobbies and the front desk area. They’ve got welcoming staffs which is important. I enjoyed my stay here and would definitely come back.
YJ KIM,"직원분들 친절하시고 위치가 정말 최고입니다. 세부 it city내에서 어디든 가깝게 갈수 있어요. 아이들 여름 방학때 3주 머물렀습니다. 여기있는동안 리셉션의 Mr.Nathan이 친절하게 우리를 돌봐주었습니다. 지내는 동안 우리가 필요한 사항을 친철하게 안내해주었습니다. 그리고 조식 식당에 ms. Razel은 언제나 반갑게 우리를 맞이해주었습니다. 두 분 덕분에 즐겁게 하루를 시작할 수 있었습니다. Mr.Nathan과  Ms.Razel에게 다시한번 감사인사를 전하고 싶습니다. The staff are friendly and the location is really great. You can go anywhere close to Cebu it city. Stayed for 3 weeks during my children's summer vacation. While we were here, Mr.Nathan at the reception kindly took care of us. During our stay, he kindly guided us through what we needed. And in the breakfast room Ms. Razel was always happy to welcome us. Thanks to the two of them, our family were able to start the day happily. We would like to thank Mr.Nathan and Ms.Razel agan."
Rod,Marygrace Macasling deserve a raise. She’s very accommodating with outstanding customer service all throughout our stay in Seda Hotel.She always get in touch with us to make sure that we are comfortable and satsified with the service. She’s an asset to your company. Kudos!
Culture53915383979,"All the hotel staff was very accommodating at breakfast. They immediately understood that my son overslept and could not make it to the lobby for breakfast each morning, and I greatly appreciated the fact that they brought my son's breakfast to our room. I especially would like to thank ms. Alexis and ms. Angel for their kindness. (sorry if I spelled it wrong).  I would like to stay again next time.  Thank you so much. Our family made the special memory in 2023 summer."
Queensbie H,I love the staff and their services. They really are kind-hearted and accommodating. They really do work best for their people. I appreciate all of them and grateful for their selfless service. Kudos!
Bing,"We went there to celebrate Mom's birthday, and surely we had a blast. The employees, notably Sir Nathan at the front desk and Miss Wengi at Straight Up Bar, are incredibly friendly and helpful. I adore how everyone in Seda would greet us with warm smile. Booked two rooms and I must say each room is very clean but the lighting in Room 1614 was kind of dim, hopefully they will install more lights in this room soon. The pool was also very nice and the staff would really ensure the guests' safety and comfort. Without a doubt, I'll return soon!"
Jonathan L,"We stayed here for a few days with family while visiting from America. We had such a great stay that we went back a couple weeks later when my husband and son joined us. The hotel is very clean and modern. We stayed in the 3 bedroom family suite, which felt like a fully furnished apartment. The best part was the staff, particularly Kingswell, Razel and Rose from Miso restaurant, Loren and Kyla from front desk, and McCoy from housekeeping. Everyone was nice though! The location in IT Park is perfect. We look forward to our next visit!"
Mark Benedict,"Seda is a really good hotel that is contemporary and equipped with all the amenities required, so we were quite happy with our stay there with my friends. It is conveniently located near the bus stops, making it an excellent starting point for exploring Cebu's city attractions. The staffs are excellent, particularly Sir Nathan who were extremely friendly and helpful in recommending some place to enjoy here in Cebu. I would also like to commend Sir Clifford and Ms Wengie from the bar, definitely the best people we met while staying here, you guys have the best staffs. Thank you!!"
Wenfes Joy L,"The place is so nice and the people are so welcoming, diffinetly will go back once I visit again. The food is good the front desk are very nice people too and everything in the hotel is just great for travellers ."
Maybe09180,"My family and I with my Mama stayed here for 2 days upon arrival to Cebu and 3 days before leaving Cebu and those days have been nothing but AMAZING. All thanks to Ms. Loren Dignos and her outstanding team. She made sure that my mom's room and our room are right next to each other so Lola can spend more time with the kids. The Filipino breakfast option was nothing but delightful and enjoyed the most by everyone especially my kids. My daughter loved the rice and dried fish and my son loved the puto and sikwate. It was such a treat for them after not having it for almost 4years. The pool was the other highlight that my kids enjoyed the most. Pool was well maintained, and fresh towels were readily available.  The beds and pillows were quite comfortable that despite the jetlag we"
