username,review_text
michaelciel,"Currently 2 weeks into a 5 week stay and as on our previous visit we are thoroughly impressed.  The two bedroom fully serviced apartment is modern and well appointed. Comfy bed and living areas along with two large bathrooms and laundry.  Centrally located in IT Park with supermarket, shopping mall and endless restaurants, cafes and fast food outlets on your doorstep.  Hotel Restaurants are very good and reasonably priced. Food is delicious, very well prepared with endless variety. Outside dining offered on the rooftop along with pool and gym.  The service is second to none in Cebu and is world class. After all a hotel no matter how well presented is nothing without warm, welcoming , friendly and knowledgeable staff.  Also when you are on a long stay in a hotel it is a big test"
alwaystravelsf,"Not a High End Luxury hotel but almost there!  The positive is it’s very clean, quality of finishes very polished and staff excellent and friendly!  Also the location is great as it’s connected to the Ayala Central Block mall.  Lots of restaurants/bars nearby and also Sugbo Mercado.  Room was great and had the 1 bdr apartment which very affordable.   On the negative side is the on-site restaurant breakfast buffet is not good imo.  Many items had run out and not replaced, food isn’t cooked very well and mostly cold.  Many guests will open the holding container and leave open.  Also egg station specialty is eggs sunny side up but they’re always cold even after they just make them.    Swimming pool adequate but kinda small it’s on roof.  So understandable, gym very small, can hear"
jayford l,We stayed at Seda IT Park for vacation and I really had fun during our stay. Everything is accessible from malls to food park. Staffs are great and warmth welcoming especially Nathan who assisted us from check-in and check-out. He gave us a very nice IT Park view and a complimentary drink at the bar. Thank you Nathan and to all the friendly staff! We'll surely be back this year for my grandma's birthday.
Adventure47542725541,"Great people and very friendly.  At the bar I met Emil and he doing very good Job and also at the Miso buffet resto, I met Kingswel he entertain really well , friendly and hard working. Over all , all staff is doing great. Also i can see ,The lady manager , she was doing very good job for helping her staff at the Miso Resto."
Bby L,"the nightly fare is well rewarded with a fantastic experience. this is one of the best hotels I have stayed in anywhere. Everything except the pool deck are wonderful. Unfortunately the tiles used at the pool washroom entrance are very slippery. Why hasn't the hotel removed and replaced them? I slipped, and the guard said, we have already told management about the inappropriate tiles. so, you know about this. Change the tiles. It is not a big job."
Clair D,"Everything is great and very accessible to malls and park. Me and my colleagues would surely choose it again next time we visit Seda. Thanks to Nathan, for your accommodating and helping us through your services."
Michiko N,"Stayed with my auntie for two nights in a two bedroom, and our stay was great! the service was awesome! Our room was supposed to come with a washer and dryer but only came with a dryer, so they offered us complimentary laundry service. One of the servers was exceptional and incredible with his service (thanks Kingswell!) and he made our breakfast time super enjoyable! Great food too!! Loved everything about our stay!"
Curious17005830904,"Superb inn. Excellent service the room was big, clean, and had everything we needed. Breakfast was plentiful and delicious; The buffet had a very large selection. I had the opportunity to speak with the telephone operators at night because I was having a bad day. They were extremely accommodating and friendly, and I would like to commend them for their excellent service. I believe their names are Diana, Kyla, and Kiara. The location is excellent! right adjacent to the shopping center and I would recommend this hotel to my friends.  Seda, thank you!"
Godxxx01,"This place is great.  The people are really helpful BUT i find it a bit strange to put 2 trainees just standing the whole day by the entrance to greet the hotel guests.  I find it a bit inhumane. I think their talent be use better by really training them. We got an upgrade with a stunning view of city. Not just a room but a BIG 1-bedroom APARTMENT with a functioning washing machine and separate dryer.   The pool was great on the rooftop but the bar is being built, that was a bummer.  I checked our the roof top bar in the evening.  Nice view and vibes and good offers to choice.  Unfortately, it closed really early at  midnight. Highly recommended in the middle of the new spot in Cebu city, the IT PARK with great going out scene and never sleeps due to the overwhelming presence of"
John Alexander Q,"The building feels very brand new. I got a one-bedroom and it was well laid out. The view from the room was also nice. My room had a kitchenette, dining table, couch, and lots of space.   If you are renting a car with driver or have your own car, the parking area exit is next to the drop-off point, so there is really not much wait for your pick-up.  Breakfast was a let down, it was purely Filipino and nothing great. This needs real menu improvement.  Overall I had a great stay."
RamonStinges,"It’s a relatively new hotel but its rooms are already deteriorating. Cleanliness is not what I expected and had 3 cockroaches in my room. Staff is not very engaging and take all the complaints and suggestions for granted, as if they are you used to it hearing the same thing over and over again. The only highlights are location and breakfast."
Galasheeng S,We had a great stay in here comfy and cozy. Commend to Ritchell and Frances for assisting us during check in and transfer of room for my mom and sis. And also to Jomalie for attending to us during our breakfast. Thank you everyone.
CMarie L,"We stayed at Seda Central Bloc for at least a month and experienced the best of the best! Everyone was so helpful and nice. Service with a smile! My sister and myself now know that there is nowhere else best to stay but here.  Their apartment style rooms equipped with washer and dryer was a great perk. Rooms were clean always and food was great!   But what was best of all? The people that worked there.. Razel, Kingswell, Nelson, Charlie, etc (there are  so many other names and please forgive me if I have missed mentioning them as my old age memory has caught on :-) )- —we came to know most of them and their impeccable service. From the Bellman, to their front desk, the housekeeping and to the breakfast team! Thank you! Thank you!! Thank you! For making us feel so at home! A home"
