username,review_text
Yohei K,"I recently stayed at a resort hotel called The reef. The cocktails served at the hotel bar, especially the East Jungle, were excellent, and the original food was very good. Our English is not perfect, but the hotel staff was sincere and flexible in considering our requests regarding our room and luggage. The location of the hotel was excellent and we enjoyed the clean sea and the pool with its spectacular view. I wholeheartedly recommend it."
maricris g,"It was a great place to go with family. The room is big good for 3 persons. It has balcony which you can see the beach. Wifi is fast.Buffet was fine,for me t’was not that huge choices but the pastries is superb. Lobby is so clean and furnitures is comfortable by renowned furniture maker Kenneth Cobonpue.Beach closes at 5pm and pool closes at 7pm.."
Denise S,I think the best highlight of it all was the staff esp the reception. They managed to fulfill our request by upgrading my parents' room to one with an awesome view. They understood that one of my family member's were celebrating their birthday here so it was a nice touch that they gave us the room plus the option to check out late! The whole place was clean and up to date (I think this place is relatively new). Also helps that you're near Mactan Newtown so you have a ton of options to go out and eat
Leavel N,The sea view was spectacular.  The staff was very attentive and made us feel welcomed. I have already recommended to my friends and colleagues to stay at the Reef. Amazing time. I will visit again for sure
Yuka T,The infinity pool and all facilities they  offered to us was excellent. All staff has warm hospitality.  The shower annexed pool was a little cold for us. But it’s fine because except for that was great.
Grace R,"Our stay at The Reef was an unexpected phenomenal experience!  The hotel offered a relaxing atmosphere, the rooms were clean and spacious.  The breakfast selection offered a wide variety of sumptuous food, offering delicious selections of pure Filipino breakfast with an offering of menu palatable to other non Filipino guests.    The staff were all welcoming and friendly, with attention to our needs during our stay at your hotel.   Overall, our stay created long lasting positive and relaxing experiences that will encourage us to visit and stay at your hotel.   We plan to come back with our entire family including our children and grand children from the states.   The Reef is the place to be in Mactan Cebu."
Angel A,The breakfast is excellent. We also tried dinner and the food is delicious. We got a free room upgrade from deluxe to premier seaview with balcony. We are very lucky and thankful. They said they do room upgrades randomly and we were chosen. The room is very spacious with bath tub and balcony over looking the sea. The beach and the sea is great for swimming.
Angely A.,"Got a day tour to see if the rumors were true about this place having a good beach, and the rumors are true. The food was good and staff was really accomodating at the Kitchen. Special shoutout to Jaybee and Keith for making my stay enjoyable!  Hoping to stay here next time!"
hlcg6442,Very friendly and accommodating staff. The service is good and the breakfast buffet was really delicious. The amenities was satisfactory and kid friendly. The rooms were very spacious. Hope to be back someday.
Benedict H,The place was stunning and beautiful. There are a lot of instagramable parts so you can have a lot of pictures with you after the visit. All of the resort staff were very friendly up until we have checked out.
Lazy Days,"Very nice resort, as recently opened some final construction in common areas still ongoing but really enjoyed the stay.   Restaurant served really delicious food.  What makes the place amazing is its greatest asset, the staff. Big thank you to Rose in reception who is super sweet, Ariel at breakfast always ready with the coffee, and Mark T at the beach area. Hope to see you again!"
