username,review_text
Angel C,"The concierge greeted us with a smile before we went inside. The servers Dwayne, Roxanne and Venz were very friendly, efficient and even offered us their best seller drink(which was very good indeed). The food was great and very delicious, thanks to the Chefs Fiona, Jake, Moanah and Jose. Will definitely be back to order the Ribeye steak! :)"
Casey Maureen A,The food are excellent. Rooms and function hall are conducive. The sales staff is very assisting and exerts extra efforts in hotel services. The assisting crew and other hotel staff are well trained.
christine a,"The food, accommodation, the crews, and the overall ambiance of the hotel were exemplary! The first hotel I've been with that truly invested in security. As disaster practitioner, I truly appreciate the weekly evacuation drill routinely conducted in the hotel."
Joan O,A gorgeous hotel with excellent and friendly service during my entire stay. The hotel’s breakfast buffet also offers a wide variety of dishes from cuisines from different parts of the world. Location is ideal with a mall and ample restaurants just within walking distance.
Jay M,"Friendly Staff.  Fast service during breakfast.  The room is clean with very reliable wifi.  Great view from the roof deck.  Breakfast is good, nice spread of western and asian. Nice taho idea wherein a staff is dress as a taho vendor and going around the floor and offering it to the guest."
Alfie E,The room is really nice and comfy. Even in hallways it smells good and very clean. The staffs are very accomodating. They even call me to check if the room is to my liking. I will definitely choose Bai hotel in my next visit here in Cebu. Thank you for warm welcome Ms. Marjurie.
Amber H,"The service here is absolutely impeccable! Venus, Marjurie, and Gian were more than welcoming. They were so friendly and truly seemed excited that we chose to stay at bai. Would definitely recommend staying at bai and to get the chance to interact with these lovely people"
Nicolas H,Amazing service starting at the front desk  Assisted by Maybelle Place very welcoming with smiles and greatings on every corner. Food and pool area has been great. Amazing location with lots of things to do
Anne Clarisse S,Irish from Cafe Bai- Thank you and to your team for making my birthday memorable. The best! ️️️.
Edwin T,"Very good food & service! Most especially to d nice hospitality & assistance of Erick! Will again come back and also recommend to others.  Had just some minor observations like: slippery floor at Japanese Station, not so customer-oriented server of roasted beef counter slicer at Western Station (needs more training on customer service)."
Carl James P,All good. We are very satisfied with the food and the service of the staff especially the person who assisted as Jhona Mie. Im looking forward to be back here soon with family members or friends. Its a good celebration venue.
slowtraveler987,"This time I tried bai hotel. A hotel in city Centre. it was central but nothing around. The hotel. Say it’s a 5*, the people and hospitality is just fantastic . Breakfast is a 3 but easy to improve. Room is 4, housekeeping a 5+, aircon is just noise a 2. I’m a fruit lover. Here that was a disappointment. And please don’t start the answer with don’t have when asking about something in breakfast. Improvement more fresh juice station. Better fruit station include cebu famous fruit MANGO. For coffee better quality, a barista?  And at last not everything need to be sweetened  Forgot to tell: waffles and pancakes was awesome fantastic. Best in Asia that I have teased."
Wedan D,"customer service / response is great. the moment you enter the hotel, staff will guide you accordingly. staff are very accommodating and engaging through out our weeklong stay at the hotel. kudos for their frontline team."
Altaaf Hamid,"A totally AMAZING hotel that absolutely value for money. The staff are the best I've ever experienced - every single staff member is warm, welcoming  and pleasant to everyone entering or staying at the hotel. A BIG Thank You to Bai hotel for an unforgettable stay."
Geo C,Liked · We loved the breakfast. The buffet was good and coffee was very good. Room was very big and comfortable. Bed was great. Roof top deck pool was great aslo. The gym was helpful after eat all the good food. The Concierge who pickup our luggage from room just before checkout was great. think his name was Fred.
Ricky M,"Can't forget the smiles of Jethro and Venus when they welcomed us in the reception - it felt like I was reunited with my childhood ""bai"" (referring tk a friend in the local dialect).  The rest of the staff are also very accommodating and helpful."
Julia P,"we went to the UME restaurant to celebrate our anniversary, it was perfect, great service by the waiter ✨GEO ✨and the manager helped us make our choice of menu. thank you for the surprise cake and your kindness! 🙏🏻❤️  We highly recommend! 🤩"
Mary Jane V,Can’t stop myself from visiting this restaurant over again. The food quality and services are top-class. You should try it once.  One of the best buffet restaurant I ever had thank you to miss jhona mie for assisting us..
jun s,Very accomodating and very attentive to our needs when it comes to food specially this is our first time at the cafe bai.  We are planning to celebrate here again specially the promos very convencing the birthday celevrants is free.  Thank you and keep up the good work
