name,classification,address,numberOfReviews,rating
University of San Carlos Museum,Museums,"Pelaez Street University of San Carlos, Cebu City 6000 Philippines",236,4.5
Cebu Heritage Monument,Sights & Landmarks,"Colon Street, Parian Plaza, Cebu City 6000 Philippines",332,4
1730 Jesuit House,Sights & Landmarks,"Zulueta Street Parian, Cebu City 6000 Philippines",179,4.5
Sumilon Island,Nature & Parks,Philippines,297,4
Temple of Leah,Sights & Landmarks,"Roosevelt Street Busay, Cebu City 6000 Philippines",610,3.5
Sirao Flower Garden,Nature & Parks,"Busay, Cebu City 6000 Philippines",276,4
Osmena Peak,Nature & Parks,"Mantalongon, Dalaguete 6022 Philippines",201,4.5
Lapu Lapu Statue,Sights & Landmarks,"Barangay Mactan, Lapu Lapu Philippines",980,4
Yap Sandiego Ancestral House,Sights & Landmarks,"155 Mabini St. Parian, Cebu City 6000 Philippines",575,4
Cebu Ocean Park,Zoos & Aquariums,"South Road Properties SM Seaside Complex, Cebu City 6000 Philippines",85,4.5
Museo Sugbo,Museums,"M. J. Cuenco Avenue, Cebu City 6000 Philippines",224,4
Simala Shrine,Sights & Landmarks,"Lindogon Simala, 6020 Philippines",304,4.5
Pescador Island,Nature & Parks,"Tanon Strait, Moalboal Philippines",565,4.5
Aguinid Falls,Nature & Parks,"Barangay Tangbo, Samboan 6027 Philippines",276,4.5
Tops Lookout,Sights & Landmarks,"Tops Road, Cebu City 6000 Philippines",1004,4
Paradise Beach,Nature & Parks,Philippines,238,4.5
Fort San Pedro,Sights & Landmarks,"A.Pigafetta, Cebu City 6000 Philippines",1326,4
Tumalog Falls,Nature & Parks,"Tumalog, Oslob 6025 Philippines",1110,4.5
SM Seaside City Cebu,Shopping,"Corner South Coastal Road and Mambaling Extension, Cebu City 6000 Philippines",301,4
Cebu Safari & Adventure Park,Nature & Parks,"Toril Barangay Corte, Carmen 6005 Philippines",74,4.5
Casa Gorordo Museum,Museums,"35 Eduardo Aboitiz St, Cebu City 6000 Philippines",548,4.5
Jumalon Butterfly Sanctuary,Nature & Parks,"J.N. Jumalon Street, Cebu City 6000 Philippines",105,4
Kawasan Falls,Nature & Parks,"Matutinao, Badian 6031 Philippines",1936,4
Taoist Temple,Sights & Landmarks,"Beverly Hills, Cebu City 6000 Philippines",1492,4
Virgin Island,Nature & Parks,Philippines,299,4
Cebu Metropolitan Cathedral,Sights & Landmarks,Cebu City Philippines,171,4.5
Ayala Center Cebu,Shopping,"Cebu Business Park , Archbishop Reyes Avenue, Cebu City 6000 Philippines",1824,4.5
Colon Street,Sights & Landmarks,Cebu City Philippines,619,3.5
Basilica del Santo Nino,Sights & Landmarks,"Osmena Boulevard, Cebu City 6000 Philippines",2168,4.5
