name,address,priceRange,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,rating,numberOfReviews,website
Lakwatsa Resto Lounge,"Engy Tech Bldg., H. Cortes St., Banilad Philippines",,Asian,Filipino,,,,,,5,22,http://www.lakwatsa.ph
Parrot Resort Restobar,"Panagsama Road, Moalboal 6032 Philippines",,Filipino,Mediterranean,Asian,Thai,,,,5,6,http://parrot-resort.com
La Plage Club,"Ouano Avenue, Mandaue 6014 Philippines","₱16,991 - ₱84,957",International,,,,,,,5,9,http://laplageclub.com/
Farmer Fred's Home Crafted Smoked Meat,"G. Borraska and A. Batobalonos St, Santa Fe 6047 Philippines","₱10,195 - ₱28,319",American,Filipino,Barbecue,Asian,,,,5,5,https://www.facebook.com/farmerfredshomecraftedsmokedmeat
Cebu Morning Glory,"2 M. L. Quezon National Highway, Lapu Lapu 6015 Philippines",,,,,,,,,5,8,https://cebumorningglory.modoo.at/
Sialo,"829 ECL Bldg, F. Sotto corner J. P. Laurel Streets Barangay Kasambagan, Cebu City, Cebu, Cebu City 6000 Philippines","₱101,948 - ₱141,595",Filipino,Asian,Vegetarian Friendly,,,,,5,11,
Beer Bellies Restobar,"near gym, Moalboal 6032 Philippines",,Bar,European,British,Pub,Beer restaurants,,,5,5,https://www.facebook.com/beerbelliesmoalboal
Pearl Meatshop,"M. L. Quezon National Highway Gaisano Island Mall, Lapu Lapu 6015 Philippines","₱11,328 - ₱27,753",Asian,Korean,,,,,,5,10,
Tales & Feelings,"F Ramos & V Ranudo Street Diaz Bld, 2nd Floor, Cebu City 6000 Philippines","₱7,306 - ₱56,581",International,Asian,,,,,,5,8,http://www.facebook.com/talesandfeelings
Uke Hub Kafe,"Airport Road Mactan Arcade, Lapu Lapu 6015 Philippines",₱170 - ₱566,Asian,Contemporary,Filipino,Diner,,,,5,11,http://www.facebook.com/UkeHubKafe/
Ohlala Restobar,"Panagsama St. Basdiot Moalboal Cebu Opposite Island Girl Just Around Okeanos Hotel., Moalboal 6032 Philippines",,Filipino,European,Asian,,,,,5,6,http://m.facebook.com/ohlalalumpia/
Steak House HANGOUT NOBUSHI,"P.Remedio st., The Space Bldg, Mandaue 6014 Philippines","₱15,859 - ₱113,276",Steakhouse,American,Southwestern,Bar,European,Pub,,5,13,
Villa Potenciana Restaurant,"Bounty Beach, Daa Blue Heaven Recreation & Resort Philippines",,Indian,Filipino,Asian,Indonesian,,,,5,9,
Lithuanian place,"13 Golden Sun Drive 4s, Cebu City 6000 Philippines","₱5,664 - ₱566,380",Eastern European,Caucasian,Vegetarian Friendly,,,,,5,25,http://lithuanianplace.business.site/
Cafe Cappuccino Bar and Restaurant,"M.L Quezon National High way Mactan In front of Mactan Elementary School, 6015 Philippines",,Dutch,American,Filipino,European,Asian,Vegetarian Friendly,,5,24,
JAM's Cuisine Restaurant,"Baybay, Moalboal 6032 Philippines","₱19,823",Italian,Filipino,European,Asian,,,,5,16,https://www.facebook.com/JAMs-Cuisine-Restaurant-2409604665739650/
Steaken' Sizzle,"MJ Square, Santa Fe 6047 Philippines",,American,Filipino,Asian,,,,,5,7,
Fish Tales Bar and Grill,"MJ Square, Santa Fe Philippines",,Filipino,Bar,Seafood,Asian,Pub,,,5,20,http://www.facebook.com/Fish-Tales-Bar-103694958477121
Shawarma Gourmet,"Escario Central Mall Escario Street Barangay Camputhaw Escario Central Mall, Cebu City 6000 Philippines","₱4,248 - ₱22,655",Lebanese,Mediterranean,Middle Eastern,Vegetarian Friendly,Vegan Options,Halal,Gluten Free Options,4.5,144,http://www.shawarmagourmet-ph.com
Isla Bar,"Panagsama Road Corner Tuble Rd, Moalboal 6032 Philippines",,Filipino,International,Asian,,,,,5,14,
Bloom Cakes & Coffee,"1 Paseo Saturnino Ma. Luisa Road Ground Floor, Henry Hotel, Brgy. Banilad, Cebu City 6000 Philippines","₱4,248 - ₱16,425",Cafe,,,,,,,5,35,https://www.facebook.com/bloomcebu/
San Miguel Plaza,"Maribago, M. L. Quezon National Highway San Miguel Plaza, CP Building, Lapu Lapu 6015 Philippines","₱10,761 - ₱56,072",Italian,Bar,Pub,Wine Bar,,,,5,13,https://www.facebook.com/mactansmpcarl/
Chip N Diner,"Riverside Sulangan Road Sungkko, Bantayan 6052 Philippines",,Mexican,Filipino,Asian,Korean,Greek,,,5,4,https://www.facebook.com/profile.php?id=100077318951857
Caffe Marko,"J. de Veyra Street G/F San Marino Residences Bldg., Cebu City 6000 Philippines","₱8,496 - ₱19,823",Fusion,,,,,,,5,7,http://www.facebook.com/caffemarkocebu/
Caferoniq,"Natalio Bacalso Avenue 200 Meters From The Whaleshark Briefing Area, Oslob 6023 Philippines","₱5,664 - ₱28,319",American,Filipino,Asian,,,,,5,8,http://www.caferoniq.com
